Index,Condition,Duration,Timestamp,Onset,Target
0,0,8.0,8.0,0,None
1,1,8.0,16.0,8,None
2,0,8.0,24.0,16,22.0
3,1,8.0,32.0,24,None
4,0,8.0,40.0,32,38.0
5,1,8.0,48.0,40,46.0
6,0,8.0,56.0,48,None
7,1,8.0,64.0,56,None
8,0,8.0,72.0,64,None
9,1,8.0,80.0,72,None
10,0,8.0,88.0,80,None
11,1,8.0,96.0,88,None
12,0,8.0,104.0,96,None
13,1,8.0,112.0,104,None
14,0,8.0,120.0,112,115.0
15,1,8.0,128.0,120,None
16,0,8.0,136.0,128,None
17,1,8.0,144.0,136,None
18,0,8.0,152.0,144,None
19,1,8.0,160.0,152,None
20,0,8.0,168.0,160,163.0
21,1,8.0,176.0,168,None
22,0,8.0,184.0,176,178.0
23,1,8.0,192.0,184,None
24,0,8.0,200.0,192,None
25,1,8.0,208.0,200,None
26,0,8.0,216.0,208,None
27,1,8.0,224.0,216,218.0
28,0,8.0,232.0,0,None
